question_id,question_bank_id,expert_difficulty,expert_score_band,section,parent_topic,child_topic,question_text,correct_answer,option_a,option_b,option_c,option_d
1082,d73a908a,Medium,5,Reading & Writing,Information and Ideas,Central Ideas and Details,"Believing that living in an impractical space can heighten awareness and even improve health, conceptual artists Madeline Gins and Shusaku Arakawa designed an apartment building in Japan to be more fanciful than functional. A kitchen counter is chest-high on one side and knee-high on the other; a ceiling has a door to nowhere. The effect is disorienting but invigorating: after four years there, filmmaker Nobu Yamaoka reported significant health benefits. Which choice best states the main idea of the text?",,"Although inhabiting a home surrounded by fanciful features such as those designed by Gins and Arakawa can be rejuvenating, it is unsustainable.",Designing disorienting spaces like those in the Gins and Arakawa building is the most effective way to create a physically stimulating environment.,"As a filmmaker, Yamaoka has long supported the designs of conceptual artists such as Gins and Arakawa.","Although impractical, the design of the apartment building by Gins and Arakawa may improve the well-being of the building’s residents."
1372,359902ae,Medium,4,Reading & Writing,Craft and Structure,Words in Context,"The following text is adapted from Nathaniel Hawthorne’s 1837 story “Dr. Heidegger’s Experiment.” The main character, a physician, is experimenting with rehydrating a dried flower. At first [the rose] lay lightly on the surface of the fluid, appearing to imbibe none of its moisture. Soon, however, a singular change began to be visible. The crushed and dried petals stirred and assumed a deepening tinge of crimson, as if the flower were reviving from a deathlike slumber. As used in the text, what does the phrase “a singular” most nearly mean?",,A lonely,A disagreeable,An acceptable,An extraordinary
1083,d748c3fd,Medium,5,Reading & Writing,Information and Ideas,Inferences,"In her 2021 article “Throwaway History: Towards a Historiography of Ephemera,” scholar Anne Garner discusses John Johnson (1882–1956), a devoted collector of items intended to be discarded, including bus tickets and campaign pamphlets. Johnson recognized that scholarly institutions considered his expansive collection of ephemera to be worthless—indeed, it wasn’t until 1968, after Johnson’s death, that Oxford University’s Bodleian Library acquired the collection, having grasped the items’ potential value to historians and other researchers. Hence, the example of Johnson serves to ______ blank Which choice most logically completes the text?",,demonstrate the difficulties faced by contemporary historians in conducting research at the Bodleian Library without access to ephemera.,represent the challenge of incorporating examples of ephemera into the collections of libraries and other scholarly institutions.,lend support to arguments by historians and other researchers who continue to assert that ephemera holds no value for scholars.,illustrate both the relatively low scholarly regard in which ephemera was once held and the later recognition of ephemera’s possible utility.
1809,89fbc3eb,Medium,5,Reading & Writing,Standard English Conventions,Boundaries,"The Mission 66 initiative, which was approved by Congress in 1956, represented a major investment in the infrastructure of overburdened national ______ blank it prioritized physical improvements to the parks’ roads, utilities, employee housing, and visitor facilities while also establishing educational programming for the public. Which choice completes the text so that it conforms to the conventions of Standard English?",,parks and,parks,parks;,"parks,"
12630,f0be91b2,Medium,5,Reading & Writing,Craft and Structure,Words in Context,"Drivers who strongly believe that the toll they must pay to use the Lewis and Clark Bridge, which spans the Ohio River to connect Indiana and Kentucky, is currently too high are unlikely to be ______ blank a proposal to increase the toll. Advocates for a higher toll are likely to have more success if they instead direct their arguments toward a more persuadable segment of the population. Which choice completes the text with the most logical and precise word or phrase?",,receptive to,apprised of,incensed by,cited in
1812,6f08641e,Medium,5,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense","On April 5, 1977, Kitty Cone and 150 other disability rights activists entered a San Francisco federal building. After pleading for years—to no effect—for the passage of key antidiscrimination legislation, ______ blank until their demands were addressed. Finally, on April 28, the legislation was signed. Which choice completes the text so that it conforms to the conventions of Standard English?",,pressure on lawmakers increased when the activists staged a sit-in protest,a sit-in protest staged by the activists increased pressure on lawmakers,lawmakers came under increased pressure when the activists staged a sit-in protest,the activists increased pressure on lawmakers by staging a sit-in protest
11806,8c1be131,Medium,4,Reading & Writing,Information and Ideas,Central Ideas and Details,"During the World War II era, some Mexican American women adopted a striking new look called pachuca style. They wore altered men’s jackets or zoot suits (wide-legged, long-coated suits) and dramatic makeup, and they combed their hair into high, rounded shapes. Some people criticized pachuca style, saying it was dangerous and women should dress traditionally. But historians see things differently. They see pachuca style as a form of rebellion against the era’s rigid social expectations for women. They say that it showed a desire for self-expression and freedom on the part of women who adopted the style. According to the text, how do historians view pachuca style?",,They think that pachuca style was such a popular trend that it continues to influence fashion in the United States to the present day.,They think that pachuca style was a way for some Mexican American women to express themselves and resist strict social expectations.,They think that pachuca style was celebrated because it enabled some Mexican American women to show their support for the United States during World War II.,They think that pachuca style was similar to other fashion trends that different groups of women adopted in the same period.
11899,c977cfcf,Medium,4,Reading & Writing,Craft and Structure,Words in Context,"According to a team of neuroeconomists from the University of Zurich, ease of decision making may be linked to communication between two brain regions, the prefrontal cortex and the parietal cortex. Individuals tend to be more decisive if the information flow between the regions is intensified, whereas they make choices more slowly when information flow is ______ blank . Which choice completes the text with the most logical and precise word or phrase?",,reduced,evaluated,determined,acquired
1086,92c2564d,Medium,4,Reading & Writing,Information and Ideas,Central Ideas and Details,"Utah is home to Pando, a colony of about 47,000 quaking aspen trees that all share a single root system. Pando is one of the largest single organisms by mass on Earth, but ecologists are worried that its growth is declining in part because of grazing by animals. The ecologists say that strong fences could prevent deer from eating young trees and help Pando start thriving again. According to the text, why are ecologists worried about Pando?",,It isn’t growing at the same rate it used to.,It isn’t producing young trees anymore.,It can’t grow into new areas because it is blocked by fences.,Its root system can’t support many more new trees.
12061,2c49940e,Medium,4,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense","French philosopher René Descartes doubted whether he could prove his own existence. Eventually, he found proof in his famous phrase “I think, therefore I am.” The ______ blank complexity: only those who exist would be able to ponder their existence. Which choice completes the text so that it conforms to the conventions of Standard English?",,phrases’ simplicity masks its,phrases simplicity masks their,phrase’s simplicity masks their,phrase’s simplicity masks its
12063,7f226b4b,Medium,4,Reading & Writing,Standard English Conventions,Boundaries,"In a 2023 study, researchers documented a fascinating behavior in the aquatic plant Elodea densa . When exposed to low levels of light, the plant’s ______ blank the cellular organs that generate energy from light—reshuffled to form a tightly packed, glass-like surface ideal for collecting more light. Which choice completes the text so that it conforms to the conventions of Standard English?",,chloroplasts,chloroplasts;,"chloroplasts,",chloroplasts—
1087,22e4d633,Medium,5,Reading & Writing,Information and Ideas,Command of Evidence,"Although many transposons, DNA sequences that move within an organism’s genome through shuffling or duplication, have become corrupted and inactive over time, those from the long interspersed nuclear elements (LINE) family appear to remain active in the genomes of some species. In humans, they are functionally important within the hippocampus, a brain structure that supports complex cognitive processes. When the results of molecular analysis of two species of octopus—an animal known for its intelligence—were announced in 2022, the confirmation of a LINE transposon in Octopus vulgaris and Octopus bimaculoides genomes prompted researchers to hypothesize that that transposon family is tied to a species’ capacity for advanced cognition. Which finding, if true, would most directly support the researchers’ hypothesis?",,The LINE transposon in O. vulgaris and O. bimaculoides genomes is active in an octopus brain structure that functions similarly to the human hippocampus.,The human genome contains multiple transposons from the LINE family that are all primarily active in the hippocampus.,"A consistent number of copies of LINE transposons is present across the genomes of most octopus species, with few known corruptions.","O. vulgaris and O. bimaculoides have smaller brains than humans do relative to body size, but their genomes contain sequences from a wider variety of transposon families."
1814,74ce2f05,Medium,4,Reading & Writing,Standard English Conventions,Boundaries,"A study led by scientist Rebecca Kirby at the University of Wisconsin–Madison found that black bears that eat human food before hibernation have increased levels of a rare carbon isotope, ______ blank due to the higher 13 C levels in corn and cane sugar. Bears with these elevated levels were also found to have much shorter hibernation periods on average. Which choice completes the text so that it conforms to the conventions of Standard English?",,"carbon-13, ( 13 C)",carbon-13 ( 13 C),"carbon-13, ( 13 C),","carbon-13 ( 13 C),"
1622,b46e0c8a,Medium,5,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: Organisms release cellular material into their environment by shedding substances such as hair or skin. The DNA in these substances is known as environmental DNA, or eDNA. Researchers collect and analyze eDNA to detect the presence of species that are difficult to observe. Geneticist Sara Oyler-McCance’s research team analyzed eDNA in water samples from the Florida Everglades to detect invasive constrictor snake species in the area. The study determined a 91% probability of detecting Burmese python eDNA in a given location. The student wants to present the study to an audience already familiar with environmental DNA. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,"Sara Oyler-McCance’s researchers analyzed eDNA in water samples from the Florida Everglades for evidence of invasive constrictor snakes, which are difficult to observe.","An analysis of eDNA can detect the presence of invasive species that are difficult to observe, such as constrictor snakes.","Researchers found Burmese python eDNA, or environmental DNA, in water samples; eDNA is the DNA in released cellular materials, such as shed skin cells.","Sara Oyler-McCance’s researchers analyzed environmental DNA (eDNA)—that is, DNA from cellular materials released by organisms—in water samples from the Florida Everglades."
12358,1c7fe9be,Medium,4,Reading & Writing,Craft and Structure,Words in Context,"At the turn of the twentieth century, Black residents of Richmond, Virginia, had few formal options for banking and other financial services. To ______ blank this situation, Maggie Lena Walker chartered the St. Luke Penny Savings Bank in 1903. The bank went on to provide home loans and savings opportunities to thousands of Black families over the following decades. Which choice completes the text with the most logical and precise word or phrase?",,prolong,rectify,retain,highlight
1380,757077f9,Medium,5,Reading & Writing,Craft and Structure,Words in Context,"During a 2014 archaeological dig in Spain, Vicente Lull and his team uncovered the skeleton of a woman from El Algar, an Early Bronze Age society, buried with valuable objects signaling a high position of power. This finding may persuade researchers who have argued that Bronze Age societies were ruled by men to ______ blank that women may have also held leadership roles. Which choice completes the text with the most logical and precise word or phrase?",,waive,concede,refute,require
1623,48d0bb34,Medium,4,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: Sam Maloof (1916–2009) was an American woodworker and furniture designer. He was the son of Lebanese immigrants. He received a “genius grant” from the John D. and Catherine T. MacArthur Foundation in 1985. The Museum of Fine Arts in Boston, Massachusetts, owns a rocking chair that Maloof made from walnut wood. The armrests and the seat of the chair are sleek and contoured, and the back consists of seven spindle-like slats. The student wants to describe the rocking chair to an audience unfamiliar with Sam Maloof. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,"With its sleek, contoured armrests and seat, the walnut rocking chair in Boston’s Museum of Fine Arts is just one piece of furniture created by American woodworker Sam Maloof.","Sam Maloof was born in 1916 and died in 2009, and during his life, he made a chair that you can see if you visit the Museum of Fine Arts in Boston.",Furniture designer Sam Maloof was a recipient of one of the John D. and Catherine T. MacArthur Foundation’s “genius grants.”,"The rocking chair is made from walnut, and it has been shaped such that its armrests and seat are sleek and contoured."
1624,aa7e10d0,Medium,4,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: Species belonging to the Orchidaceae (orchid) family can be found in both tropical and temperate environments. Orchidaceae species diversity has not been well studied in temperate forests, such as those in Oaxaca, Mexico. Arelee Estefanía Muñoz-Hernández led a study to determine how many different Orchidaceae species are present in the forests of Oaxaca. Muñoz-Hernández and her team collected orchids each month for a year at a site in Oaxaca. Seventy-four Orchidaceae species were present at the site. The student wants to present the study and its findings. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,"A study led by Arelee Estefanía Muñoz-Hernández identified a total of 74 Orchidaceae species in the temperate forests of Oaxaca, Mexico.","There are orchids in many environments, but there are 74 Orchidaceae species in Oaxaca, Mexico.","Oaxaca, Mexico, is home to temperate forests containing 74 Orchidaceae species.","Arelee Estefanía Muñoz-Hernández and her team wanted to know how many different Orchidaceae species are present in the forests of Oaxaca, Mexico, so they conducted a study to collect orchids."
11900,2af2016f,Medium,5,Reading & Writing,Craft and Structure,Text Structure and Purpose,"A study by Dr. Paul Hanel and colleagues concluded that people are more likely to behave politely when listening to ideas they disagree with if they think about values before they engage in a discussion. Study participants were assigned to one of two groups. The experimental group spent a few minutes writing about one of their personal values before they had a group discussion on a controversial topic. And the control group spent a few minutes writing about a drink (tea, milk, etc.) before their group discussion on that topic. Hanel and colleagues found that the experimental group’s discussion was more civil than the control group’s discussion was. Which choice best describes the main purpose of the text?",,To describe a widely held belief and how a study’s results support that belief,To argue that researchers were surprised by the results of a certain study,To suggest ways to improve a certain study’s experimental design,To explain a study’s conclusion and how a research team arrived at that conclusion
1381,b13378c8,Medium,5,Reading & Writing,Craft and Structure,Text Structure and Purpose,"Early in the Great Migration of 1910–1970, which involved the mass migration of Black people from the southern to the northern United States, political activist and Chicago Defender writer Fannie Barrier Williams was instrumental in helping other Black women establish themselves in the North. Many women hoped for better employment opportunities in the North because, in the South, they faced much competition for domestic employment and men tended to get agricultural work. To aid with this transition, Barrier Williams helped secure job placement in the North for many women before they even began their journey. Which choice best states the main purpose of the text?",,To introduce and illustrate Barrier Williams’s integral role in supporting other Black women as their circumstances changed during part of the Great Migration,"To establish that Barrier Williams used her professional connections to arrange employment for other Black women, including jobs with the Chicago Defender",To demonstrate that the factors that motivated the start of the Great Migration were different for Black women than they were for Black men,To provide an overview of the employment challenges faced by Black women in the agricultural and domestic spheres in the southern United States
1090,602b47c7,Medium,5,Reading & Writing,Information and Ideas,Central Ideas and Details,"Biologists have predicted that birds’ feather structures vary with habitat temperature, but this hadn’t been tested in mountain environments. Ornithologist Sahas Barve studied feathers from 249 songbird species inhabiting different elevations—and thus experiencing different temperatures—in the Himalaya Mountains. He found that feathers of high-elevation species not only have a greater proportion of warming downy sections to flat and smooth sections than do feathers of low-elevation species, but high-elevation species’ feathers also tend to be longer, providing a thicker layer of insulation. Which choice best states the main idea of the text?",,"Barve’s investigation shows that some species of Himalayan songbirds have evolved feathers that better regulate body temperature than do the feathers of other species, contradicting previous predictions.","Barve found an association between habitat temperature and feather structure among Himalayan songbirds, lending new support to a general prediction.","Barve discovered that songbirds have adapted to their environment by growing feathers without flat and smooth sections, complicating an earlier hypothesis.","The results of Barve’s study suggest that the ability of birds to withstand cold temperatures is determined more strongly by feather length than feather structure, challenging an established belief."
11809,29f5c8c2,Medium,4,Reading & Writing,Information and Ideas,Command of Evidence,"Fish whose DNA has been modified to include genetic material from other species are known as transgenic. Some transgenic fish have genes from jellyfish that result in fluorescence (that is, they glow in the dark). Although these fish were initially engineered for research purposes in the 1990s, they were sold as pets in the 2000s and can now be found in the wild in creeks in Brazil. A student in a biology seminar who is writing a paper on these fish asserts that their escape from Brazilian fish farms into the wild may have significant negative long-term ecological effects. Which quotation from a researcher would best support the student’s assertion?",,"“In one site in the wild where transgenic fish were observed, females outnumbered males, while in another the numbers of females and males were equivalent.”","“Though some presence of transgenic fish in the wild has been recorded, there are insufficient studies of the impact of those fish on the ecosystems into which they are introduced.”",“The ecosystems into which transgenic fish are known to have been introduced may represent a subset of the ecosystems into which the fish have actually been introduced.”,"“Through interbreeding, transgenic fish might introduce the trait of fluorescence into wild fish populations, making those populations more vulnerable to predators.”"
1384,84ece3f6,Medium,4,Reading & Writing,Craft and Structure,Words in Context,"The following text is adapted from Nathaniel Hawthorne’s 1844 short story “Drowne’s Wooden Image.” Drowne, a young man, is carving a wooden figure to decorate the front of a ship. Day by day, the work assumed greater precision, and settled its irregular and misty outline into distincter grace and beauty. The general design was now obvious to the common eye. As used in the text, what does the word “assumed” most nearly mean?",,Acquired,Acknowledged,Imitated,Speculated
1092,d83c3d54,Medium,4,Reading & Writing,Information and Ideas,Command of Evidence,"140,000 120,000 100,000 80,000 60,000 40,000 20,000 0 Area (square meters) 1987 1993 2006 Characteristics of the Banks of the Provo River Downstream of the Jordanelle Dam Year grass cover bare soil forest cover For each data category, the following bars are shown: grass cover bare soil forest cover All values are approximate. The data for the 3 categories are as follows: 1987: grass cover: 57,000 square meters bare soil: 65,000 square meters forest cover: 75,000 square meters 1993: grass cover: 95,000 square meters bare soil: 16,000 square meters forest cover: 57,500 square meters 2006: grass cover: 130,000 square meters bare soil: 35,000 square meters forest cover: 45,000 square meters The Jordanelle Dam was built on the Provo River in Utah in 1992. Earth scientist Adriana E. Martinez and colleagues tracked changes to the environment on the banks of the river downstream of the dam, including how much grass and forest cover were present. They concluded that the dam changed the flow of the river in ways that benefited grass plants but didn’t benefit trees. Which choice best describes data from the graph that support Martinez and colleagues’ conclusion?",,"The lowest amount of grass cover was approximately 58,000 square meters, and the highest amount of forest cover was approximately 75,000 square meters.","There was more grass cover than forest cover in 1987, and this difference increased dramatically in 1993 and again in 2006.","There was less grass cover than bare soil in 1987 but more grass cover than bare soil in 1993 and 2006, whereas there was more forest cover than bare soil in all three years.","Grass cover increased from 1987 to 1993 and from 1993 to 2006, whereas forest cover decreased in those periods."
11811,ca5a3fb4,Medium,4,Reading & Writing,Information and Ideas,Inferences,"The practice of logging (cutting down trees for commercial and other uses) is often thought to be at odds with forest conservation (the work of preserving forests). However, a massive study in forest management and preservation spanning 700,000 hectares in Oregon’s Malheur National Forest calls that view into question. So far, results of the study suggest that forest plots that have undergone limited logging (the careful removal of a controlled number of trees) may be more robust than plots that haven’t been logged at all. These results, in turn, suggest that ______ blank Which choice most logically completes the text?",,"logging may be useful for maintaining healthy forests, provided it is limited.",other forest management strategies are more effective than limited logging.,"as time passes, it will be difficult to know whether limited logging has any benefits.",the best way to support forest health may be to leave large forests entirely untouched.
12640,cf11282b,Medium,4,Reading & Writing,Expression of Ideas,Transitions,"Scientists were able to isolate a relatively pure sample of selenium in 1817, the same year they first discovered the element’s existence. ______ blank the isolation process took longer for molybdenum, which was isolated in its pure form three years after scientists first discovered it. Which choice completes the text with the most logical transition?",,"By contrast,","Thus,","Similarly,","For instance,"
11813,95388117,Medium,5,Reading & Writing,Information and Ideas,Command of Evidence,"Land Area Covered by Native Flowering Plants at a Site in Antarctica Species Area covered in 2009 (in square meters) Area covered in 2018 (in square meters) Percent increase in area covered from 2009 to 2018 Deschampsia antarctica 1,230 1,576 28% Colobanthus quitensis 6.9 10.7 55% The only flowering plant species native to Antarctica, Colobanthus quitensis and Deschampsia antarctica grow in places where the earth remains free of ice for much of the year. Botanist Niccoletta Cannone wondered how the warming of Antarctica’s climate in recent years had affected these species, so she visited a site in Antarctica, first in 2009 and later in 2018, to count the number of plants growing there. Cannone found that the area of land covered by the two species had significantly expanded during the nine-year period. While both species likely benefited from warming temperatures, Colobanthus quitensis ______ blank Which choice most effectively uses data from the table to complete the comparison?",,"suppressed the growth of Deschampsia antarctica , which covered a smaller area of land in 2018 than it had in 2009.","saw a greater expansion than Deschampsia antarctica did, increasing the area of land it covered by more than half.",showed a greater increase in the average size of individual plants than Deschampsia antarctica did.,covered land newly freed from ice at a rate 55% faster than that of Deschampsia antarctica .
1627,a40c7aa3,Medium,4,Reading & Writing,Expression of Ideas,Transitions,"Most of the planets that have been discovered outside our solar system orbit G-type stars, like our Sun. In 2014, ______ blank researchers identified a planet orbiting KELT-9, a B-type star more than twice as massive and nearly twice as hot as the Sun. Called KELT-9b, it is one of the hottest planets ever discovered. Which choice completes the text with the most logical transition?",,"likewise,","however,","therefore,","for example,"
1387,236fee8e,Medium,4,Reading & Writing,Craft and Structure,Text Structure and Purpose,"Archeological excavation of Market Street Chinatown, a nineteenth-century Chinese American community in San Jose, California, provided the first evidence that Asian food products were imported to the United States in the 1800s: bones from a freshwater fish species native to Southeast Asia. Jinshanzhuang —Hong Kong–based import/export firms—likely coordinated the fish’s transport from Chinese-operated fisheries in Vietnam and Malaysia to North American markets. This route reveals the (often overlooked) multinational dimensions of the trade networks linking Chinese diaspora communities. Which choice best describes the function of the underlined sentence in the text as a whole?",,It explains why efforts to determine the country of origin of the items mentioned in the previous sentence remain inconclusive.,It provides information that helps support a claim about a discovery’s significance that is presented in the following sentence.,It traces the steps that were taken to locate and recover the objects that are described in the previous sentence.,It outlines a hypothesis that additional evidence discussed in the following sentence casts some doubt on.
11815,60c6b64d,Medium,4,Reading & Writing,Information and Ideas,Command of Evidence,"Male túngara frogs make complex calls to attract mates, but their calls also attract frog-biting midges, insects that feed on the frogs’ blood. Researchers Ximena Bernal and Priyanka de Silva wondered if the calls alone are sufficient for midges to locate the frogs or if midges use carbon dioxide emitted by frogs as an additional cue to their prey’s whereabouts, like mosquitoes do. In an experiment, the researchers placed two midge traps in a túngara frog breeding area. One trap played recordings of túngara frog calls and the other released carbon dioxide along with playing the calls. Bernal and de Silva concluded that carbon dioxide does not serve as an additional cue to frog-biting midges. Which finding from the experiment, if true, would most directly support Bernal and de Silva’s conclusion?",,"Only a small number of midges were found in the traps, though the majority were found in the trap that played calls and released carbon dioxide.",Midges entered the trap that released carbon dioxide and played calls only during or immediately after periods of carbon dioxide release.,More midges were found in the trap that only played calls than in the trap that played calls and released carbon dioxide.,The trap that released carbon dioxide and played calls attracted few midges when carbon dioxide concentrations were low but attracted many midges when carbon dioxide concentrations were high.
11903,be612a26,Medium,5,Reading & Writing,Craft and Structure,Words in Context,Recent measurements of the mass of the W boson (a subatomic particle) were notable not only for the mere fact that the particle’s mass differed from expectations but for the ______ blank of that difference: the measured mass of the W boson was seven standard deviations higher than predicted by the standard model of particle physics. Which choice completes the text with the most logical and precise word or phrase?,,cause,existence,implication,scale
1629,af89fa02,Medium,4,Reading & Writing,Expression of Ideas,Transitions,"The Babylonian king Hammurabi achieved much during his forty-year reign. He conquered all of Mesopotamia and built Babylon into one of the most powerful cities of the ancient world. Today, ______ blank he is mainly remembered for a code of laws inscribed on a seven-foot-tall block of stone: the Code of Hammurabi. Which choice completes the text with the most logical transition?",,"therefore,","likewise,","however,","for instance,"
1096,1f3be847,Medium,5,Reading & Writing,Information and Ideas,Command of Evidence,"“Loon Point” is a 1912 poem by Amy Lowell. In the poem, which presents a nighttime scene on a body of water, Lowell describes an element of nature as an active participant in the experience, writing, ______ blank Which quotation from “Loon Point” most effectively illustrates the claim?",,"“Through the water the moon writes her legends / In light, on the smooth, wet sand.”",“Softly the water ripples / Against the canoe’s curving side.”,“Or like the snow-white petals / Which drop from an overblown rose.”,“But the moon in her wayward beauty / Is ever and always the same.”
1817,1ee7b429,Medium,5,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense",Bonnie Buratti of NASA’s Jet Propulsion Laboratory ______ blank data about Saturn’s rings collected by the Cassini spacecraft when she made an interesting discovery: the tiny moons embedded between and within Saturn’s rings are shaped by the buildup of ring material on the moons’ surfaces. Which choice completes the text so that it conforms to the conventions of Standard English?,,studies,has been studying,will study,was studying
11982,4c43bf61,Medium,4,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: The International Center for the Arts of the Americas (ICAA) is directed by Mari Carmen Ramírez. Ramírez oversaw an initiative to create an online archive of historical documents related to the history of Latin American and Latino visual art. The ICAA digitized over 10,000 documents, including the writings of Latin American and Latino artists and critics. The creation of the archive didn’t require historical documents to be removed from their countries of origin. Scholars now have more access to these documents. The student wants to explain an advantage of the ICAA’s archive being digital. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,"Over 10,000 documents related to the history of Latin American and Latino visual art are part of the ICAA archive.","By offering online versions of historical documents, the ICAA’s archive provides more access to these materials without removing them from their countries of origin.",Among the historical documents in the ICAA’s archive are the writings of Latin American and Latino artists and critics.,"The ICAA’s director, Mari Carmen Ramírez, oversaw the creation of an online archive of historical documents related to Latin American and Latino visual art."
11983,d9dad012,Medium,5,Reading & Writing,Expression of Ideas,Transitions,"The Inca of South America used intricately knotted string devices called quipus to record countable information, like population data and payments. ______ blank they may have used quipus to record more complex information, like stories and myths, according to researchers. Which choice completes the text with the most logical transition?",,"As a result,","In other words,","In addition,","For example,"
1632,601b9d18,Medium,4,Reading & Writing,Expression of Ideas,Transitions,"Some members of the US Supreme Court have resisted calls to televise the court’s oral arguments, concerned that the participants would be tempted to perform for the cameras (and thus lower the quality of the discourse). ______ blank the justices worry that most viewers would not even watch the full deliberations, only short clips that could be misinterpreted and mischaracterized. Which choice completes the text with the most logical transition?",,"However,","Additionally,","In comparison,","For example,"
12363,3f37eb3b,Medium,5,Reading & Writing,Craft and Structure,Words in Context,"People sometimes dismiss a claim if it comes from a source they regard as self-interested, but from a strictly logical perspective, the source of a claim is ______ blank : it has no direct bearing on whether the claim is true. Which choice completes the text with the most logical and precise word or phrase?",,indistinct,irrelevant,indisputable,implicit
11984,60917233,Medium,4,Reading & Writing,Expression of Ideas,Transitions,"In the 1880s, inventor Lewis Latimer improved upon Thomas Edison’s design for the electric light bulb. ______ blank Latimer made the light bulb more durable by placing cardboard around its carbon filament. With this innovation, Latimer became the first Black inventor to contribute to the electrification of the world. Which choice completes the text with the most logical transition?",,"Soon,","Regardless,","However,","Specifically,"
1098,11a9f635,Medium,4,Reading & Writing,Information and Ideas,Central Ideas and Details,"Paleontologists searching for signs of ancient life have found many fossilized specimens of prehistoric human ancestors, including several from the Pleistocene era discovered in a geological formation in the Minatogawa quarry in Japan. However, to study the emergence of the earliest multicellular organisms to appear on Earth, researchers must turn elsewhere, such as to the Ediacaran geological formation at Mistaken Point in Canada. A UNESCO World Heritage Site, the 146-hectare reserve contains more than 10,000 fossils that together document a critical moment in evolutionary history. What does the text indicate about the geological formation at Mistaken Point?",,It holds a greater number of fossils but from a smaller variety of species than the formation in the Minatogawa quarry does.,It has provided evidence that the earliest human species may have emerged before the Pleistocene era.,It is widely considered by paleontologists to be the most valuable source of information about prehistoric life forms.,It contains specimens from an older time period than those found in the formation in the Minatogawa quarry.
1633,ec3d7605,Medium,4,Reading & Writing,Expression of Ideas,Transitions,Award-winning travel writer Linda Watanabe McFerrin considers the background research she conducts on destinations featured in her travel books to be its own reward. ______ blank McFerrin admits to finding the research phase of her work just as fascinating and engaging as exploring a location in person. Which choice completes the text with the most logical transition?,,"By contrast,","Likewise,","Besides,","In fact,"
12651,2312021b,Medium,5,Reading & Writing,Information and Ideas,Central Ideas and Details,"In a study by Mika R. Moran, Daniel A. Rodriguez, and colleagues, residents of Quito, Ecuador, and Lima, Peru, were surveyed about parks in their cities. Of the 618 respondents from Quito, 82.9% indicated that they use the city’s parks, and of the 663 respondents from Lima, 72.7% indicated using city parks. Given that the percentage of Quito respondents who reported living within a 10-minute walk of a park was much lower than that reported by Lima respondents, greater proximity alone can’t explain the difference in park use. The text makes which point about the difference between the proportions of Quito residents and Lima residents using parks?",,It was much larger than the researchers conducting the study expected.,It is caused by something other than the parks’ proximity to city residents.,It could be due to inaccuracies in the survey results.,It was calculated using sources that predate the survey.
1634,a819d8b6,Medium,4,Reading & Writing,Expression of Ideas,Transitions,"In 1873, Spanish scientist Santiago Ramón y Cajal observed that brain fibers have distinct boundaries with clear end points, a finding that went against earlier assumptions about the brain. ______ blank scientists had assumed that the brain was a continuous web of fused fibers, not a vast network of distinct, individual cells. Which choice completes the text with the most logical transition?",,"However,","Previously,","As a result,","Likewise,"
1635,84e108cf,Medium,5,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,"While researching a topic, a student has taken the following notes: Platinum is a rare and expensive metal. It is used as a catalyst for chemical reactions. Platinum catalysts typically require a large amount of platinum to be effective. Researcher Jianbo Tang and his colleagues created a platinum catalyst that combines platinum with liquid gallium. Their catalyst was highly effective and required only trace amounts of platinum (0.0001% of the atoms in the mixture). The student wants to explain an advantage of the new platinum catalyst developed by Jianbo Tang and his colleagues. Which choice most effectively uses relevant information from the notes to accomplish this goal?",,"Researcher Jianbo Tang and his colleagues created a platinum catalyst that combines platinum, a rare and expensive metal, with liquid gallium.","Like other platinum catalysts, the new platinum catalyst requires a particular amount of the metal to be effective.","Platinum is a rare and expensive metal that is used as a catalyst for chemical reactions; however, platinum catalysts typically require a large amount of platinum to be effective.","While still highly effective, the new platinum catalyst requires far less of the rare and expensive metal than do other platinum catalysts."
1101,e677fa6c,Medium,5,Reading & Writing,Information and Ideas,Central Ideas and Details,"The following text is adapted from Edgar Allan Poe’s 1849 story “Landor’s Cottage.” During a pedestrian trip last summer, through one or two of the river counties of New York, I found myself, as the day declined, somewhat embarrassed about the road I was pursuing. The land undulated very remarkably; and my path, for the last hour, had wound about and about so confusedly, in its effort to keep in the valleys, that I no longer knew in what direction lay the sweet village of B——, where I had determined to stop for the night. Which choice best states the main idea of the text?",,The narrator remembers a trip he took and admits to getting lost.,The narrator recalls fond memories of a journey that he took through some beautiful river counties.,The narrator describes what he saw during a long trip through a frequently visited location.,The narrator explains the difficulties he encountered on a trip and how he overcame them.
